categoria,perfil,quantidade,comprimento_total_m,massa_total_kg
Arruelas,chapa-10,40,0.00,24.0
Calhas,U300x200x5,2,40.00,1240.3
Chumbadores,barra-20,80,17.20,42.4
Colunas,HEA200,10,59.70,2392.4
Condutores,tubo-100x3,6,36.00,258.4
Contraventamento,barra-20,12,107.02,263.9
Escoras de beiral / cumeeira,HEA160,12,60.00,1735.2
Montantes de oitao,HEA160,4,24.77,716.2
Placas de base,chapa-40,10,0.00,777.1
Tapamento,trapez-0.65,4,0.00,1653.4
Telha de cobertura,trapez-0.65,2,0.00,1025.6
Tercas,Ue200x75x25x2.65,6,120.00,972.1
Tercas de parede,UPE100,5,79.10,749.8
Tirantes / maos-francesas,barra-16,40,135.72,214.1
Vergas,UPE100,1,0.90,8.5
Vigas,HEA180,10,50.25,1708.8
TOTAL,,,,13782.1

# Detalhe por elemento
nome,categoria,perfil,comprimento_mm,massa_kg
ARRUELA_D_01_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_b2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_a1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_a2,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_b1,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_b2,Arruelas,chapa-10,0.0,0.6
CALHA_D,Calhas,U300x200x5,20000.0,620.15
CALHA_E,Calhas,U300x200x5,20000.0,620.15
CHUMBADOR_D_01_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_01_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_02_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_03_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_04_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_D_05_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_01_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_02_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_03_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_04_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_a1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_a2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_b1,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_E_05_b2,Chumbadores,barra-20,370.0,0.91
CHUMBADOR_GANCHO_D_01_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_03_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_04_b2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_a1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_a2,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_b1,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_05_b2,Chumbadores,barra-20,60.0,0.15
CONDUTOR_D_00,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_D_10,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_D_20,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_00,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_10,Condutores,tubo-100x3,6000.0,43.06
CONDUTOR_E_20,Condutores,tubo-100x3,6000.0,43.06
CONTRAV_COBERTURA_01_A,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_01_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_A,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_PAREDE_D_01_A,Contraventamento,barra-20,7787.2,19.2
