categoria,perfil,quantidade,comprimento_total_m,massa_kg
Arruelas,chapa-10,40,0.00,24.0
Bocais (coletores calha->condutor),tubo-130x3,6,0.72,6.8
Calhas,U300x200x5,2,40.00,1240.3
Chapa de topo (joelho),chapa-22,10,0.00,95.0
Chapas gusset (contravento),chapa-12,24,0.00,25.4
Chumbadores,barra-20,80,17.80,44.0
Clipes de apoio (conexao),chapa-8,50,0.00,34.0
Colunas,HEA200,10,59.70,2392.4
Condutores,tubo-100x3,6,35.10,251.9
Contraventamento,barra-20,12,107.02,263.9
Enrijecedores (joelho),chapa-12,20,0.00,71.6
Escoras de beiral / cumeeira,HEA160,12,60.00,1735.2
Esticadores (contravento),esticador-M20,12,107.02,27.0
Misulas (joelho),chapa-9.5,10,0.00,2543.4
Montantes de oitao,HEA160,4,24.77,716.2
Nervuras da base,chapa-12,20,0.00,39.6
Parafusos M24 (joelho),M24,40,4.80,17.2
Placas de base,chapa-40,10,0.00,777.1
Porcas,porca-M20,40,0.72,8.0
Porcas de nivel,porca-M20,40,1.12,12.0
Tapamento,trapez-0.65,4,0.00,1652.6
Telha de cobertura,trapez-0.65,2,0.00,1025.6
Tercas,Ue200x75x25x2.65,6,120.00,972.1
Tercas de parede,UPE100,5,79.10,749.8
Tirantes / maos-francesas,barra-16,50,139.12,219.5
Vergas,UPE100,1,0.90,8.5
Vigas,HEA180,10,50.25,1708.8
SUBTOTAL ACO,,,,16661.9
SUBTOTAL ALVENARIA,,,,0.0
TOTAL GERAL,,,,16661.9

# Detalhe por elemento
nome,categoria,perfil,comprimento_mm,massa_kg
ARRUELA_D_01_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_01_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_02_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_03_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_04_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_D_05_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_01_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_02_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_03_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_01,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_04_04,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_01,Arruelas,chapa-10,0.0,0.6
