category,profile,count,total_length_m,total_mass_kg
Anchor rods,rod-25,40,8.60,33.2
Base plates,plate-22,10,0.00,304.6
Columns,HEA200,10,59.70,2392.4
Cross bracing,rod-20,12,107.02,263.9
Downspouts,tube-100x3,6,36.00,258.4
Eave struts / ridge,HEA160,12,60.00,1735.2
Gable posts,HEA160,4,24.83,718.2
Girts,UPE100,4,80.00,758.3
Gutters,U300x200x5,2,40.00,1240.3
Plate washers,plate-10,20,0.00,10.0
Purlins,UPE120,6,120.00,1394.2
Rafters,HEA180,10,50.25,1708.8
Roof cladding,trapez-0.65,2,0.00,1025.6
Sag rods / flange braces,rod-16,44,47.00,74.2
Wall cladding,trapez-0.65,4,0.00,1853.2
TOTAL,,,,13770.4

# Per-member detail
name,category,profile,length_mm,mass_kg
ANCHORHOOK_L_01_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_01_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_02_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_02_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_03_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_03_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_04_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_04_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_05_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_L_05_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_01_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_01_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_02_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_02_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_03_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_03_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_04_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_04_b,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_05_a,Anchor rods,rod-25,60.0,0.23
ANCHORHOOK_R_05_b,Anchor rods,rod-25,60.0,0.23
ANCHOR_L_01_a,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_01_b,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_02_a,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_02_b,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_03_a,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_03_b,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_04_a,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_04_b,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_05_a,Anchor rods,rod-25,370.0,1.43
ANCHOR_L_05_b,Anchor rods,rod-25,370.0,1.43
